seed_id,seed_len,seed_depth,bitmap_size,exec_us,favored,prox_score,stage_max,op0_pos,op0_total,op1_pos,op1_total,op2_pos,op2_total,op3_pos,op3_total,op4_pos,op4_total,op5_pos,op5_total,op6_pos,op6_total,op7_pos,op7_total,op8_pos,op8_total,op9_pos,op9_total,op10_pos,op10_total,op11_pos,op11_total,op12_pos,op12_total,op13_pos,op13_total,op14_pos,op14_total
199,660,5,106,751,1,99,299,0,21,0,17,0,13,0,6,0,16,0,8,0,10,0,15,0,19,0,18,0,17,4,299,0,13,0,10,0,12
199,660,5,106,751,1,99,316,2,10,0,16,0,14,1,20,1,24,0,20,0,13,1,14,1,18,0,16,2,22,27,316,0,11,0,14,0,23
199,660,5,106,751,1,99,299,0,16,0,9,0,10,0,14,0,12,0,10,0,16,0,15,0,19,0,11,0,11,0,299,0,11,0,11,0,21
199,660,5,106,751,1,99,306,0,12,0,14,0,18,0,10,0,9,0,16,0,11,0,14,0,11,1,15,0,11,2,306,0,11,0,14,0,7
199,660,5,106,751,1,99,316,0,7,0,19,0,8,0,14,0,14,0,8,0,13,0,13,0,16,0,15,0,10,7,316,0,13,0,13,1,9
199,660,5,106,751,1,99,282,0,9,0,16,0,16,0,11,0,13,0,9,1,13,0,11,0,14,0,11,0,22,7,282,0,10,0,16,0,10
199,660,5,106,751,1,99,171,0,11,0,9,0,7,0,6,0,8,0,8,0,6,0,6,0,6,0,6,0,11,0,171,0,7,0,4,0,7
199,660,5,106,751,1,99,312,0,11,1,12,2,20,0,15,0,17,0,17,0,16,1,9,0,23,0,22,0,16,19,312,0,16,1,13,1,18
199,660,5,106,751,1,99,299,0,18,1,20,0,13,0,7,0,20,0,11,0,19,0,12,0,18,0,15,0,16,28,299,0,15,1,22,0,19
199,660,5,106,751,1,99,289,0,12,0,21,0,19,0,18,0,17,0,18,0,14,0,15,0,21,0,20,0,10,6,289,0,9,0,12,0,5
199,660,5,106,751,1,99,299,0,13,1,16,2,18,0,13,1,12,0,17,1,18,0,18,0,12,0,11,0,15,48,299,1,11,0,16,0,16
199,660,5,106,751,1,99,299,0,15,1,17,0,16,0,9,0,20,0,16,1,14,0,12,0,12,0,15,0,14,32,299,0,10,0,9,0,14
206,552,6,98,632,1,99,2667,0,118,0,119,0,110,1,147,1,128,1,136,1,128,0,115,0,130,0,130,0,121,35,2667,1,140,0,129,0,117
206,552,6,98,632,1,99,296,0,20,1,14,0,18,3,13,0,10,0,9,0,15,1,13,0,13,0,15,1,10,39,296,0,8,1,8,1,15
206,552,6,98,632,1,99,292,2,13,0,12,0,10,0,10,0,14,0,16,0,13,0,11,0,16,0,9,0,10,48,292,0,10,0,11,0,8
206,552,6,98,632,1,99,340,1,21,0,17,2,6,2,26,0,17,1,15,0,11,0,19,0,11,0,10,0,18,56,340,2,20,1,20,0,19
